ID,Archetype_Category,Product_Title,Subject,Medium_Texture,Lighting_Atmosphere,Color_Palette,Aspect_Ratio_DPI,Full_Automated_Prompt,Negative_Prompt,Target_Interior_Style
1,Warm Minimalist & Quiet Luxury,Plaster Waves in Warm Sand & Clay,Layered architectural plaster waves flowing seamlessly across a curved relief wall,Raw textured plaster and soft unrefined linen canvas weave,Soft diffused morning sunlight casting long gentle shadows,"Warm beige, muted terracotta, desert sand, raw ivory",--ar 4:5 --stylize 600,"Layered architectural plaster waves flowing seamlessly across a curved relief wall, raw textured plaster and soft unrefined linen canvas weave, illuminated by soft diffused morning sunlight casting long gentle shadows, warm beige muted terracotta desert sand raw ivory palette, fine art exhibition quality --ar 4:5 --stylize 600","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Japandi Living Room / Minimalist Bedroom
2,Warm Minimalist & Quiet Luxury,Abstract Travertine Monolith Study,A solitary minimalist geometric monolith suspended in serene spatial balance,Matte travertine stone with fine natural pitting and brushed brass rim,Soft ambient overhead light with delicate tonal gradient,"Warm taupe, raw travertine, muted sage, soft cream",--ar 3:4 --stylize 650,"A solitary minimalist geometric monolith suspended in serene spatial balance, matte travertine stone with fine natural pitting and brushed brass rim, soft ambient overhead light with delicate tonal gradient, warm taupe raw travertine muted sage soft cream palette, gallery quality fine art --ar 3:4 --stylize 650","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Scandinavian Dining Room / Executive Suite
3,Warm Minimalist & Quiet Luxury,Earthy Organic Forms in Clay,Overlapping biomorphic clay discs with subtle hand-carved ridge details,Unglazed terracotta clay and matte Venetian plaster,Warm golden-hour directional light highlighting tactile surface relief,"Rich burnt ochre, clay pink, warm sand, muted charcoal",--ar 4:5 --stylize 500,"Overlapping biomorphic clay discs with subtle hand-carved ridge details, unglazed terracotta clay and matte Venetian plaster, warm golden-hour directional light highlighting tactile surface relief, rich burnt ochre clay pink warm sand muted charcoal palette, museum archive print --ar 4:5 --stylize 500","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Boho / Luxury Resort Villa
4,Warm Minimalist & Quiet Luxury,Subtle Tonal Horizon in Raw Linen,An abstract quiet horizon painting with soft painterly gradient shifts,Heavy impasto brushwork on coarse unbleached linen,"Low-contrast ambient room glow, subtle volumetric depth","Soft olive green, warm oatmeal, chalk white, muted slate",--ar 16:9 --stylize 700,"An abstract quiet horizon painting with soft painterly gradient shifts, heavy impasto brushwork on coarse unbleached linen, low-contrast ambient room glow subtle volumetric depth, soft olive green warm oatmeal chalk white muted slate palette, panoramic fine art --ar 16:9 --stylize 700","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Panoramic Living Room Accent Wall
5,Warm Minimalist & Quiet Luxury,Curved Arc Relief in Venetian Plaster,Architectural interlocking arcs forming a meditative rhythmic composition,Polished Venetian plaster fused with matte limestone powder,"Raking side light creating crisp, elegant shadow lines","Warm ivory, greige, soft camel, brushed nickel",--ar 3:4 --stylize 550,"Architectural interlocking arcs forming a meditative rhythmic composition, polished Venetian plaster fused with matte limestone powder, raking side light creating crisp elegant shadow lines, warm ivory greige soft camel brushed nickel palette, architectural art print --ar 3:4 --stylize 550","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Architectural Penthouse Entryway
6,Warm Minimalist & Quiet Luxury,Botanical Silhouette on Weathered Plaster,A delicate branch silhouette casting a soft shadow on textured plaster wall,Weathered lime wash plaster with fine crackle glaze details,Filtered afternoon window light through soft drapery,"Muted sage, warm stone, chalky white, soft espresso",--ar 4:5 --stylize 600,"A delicate branch silhouette casting a soft shadow on textured plaster wall, weathered lime wash plaster with fine crackle glaze details, filtered afternoon window light through soft drapery, muted sage warm stone chalky white soft espresso palette, fine art print --ar 4:5 --stylize 600","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Tranquil Spa / Serene Master Bedroom
7,Warm Minimalist & Quiet Luxury,Minimalist Sand Dune Topography,Topographical ripple contours reminiscent of wind-swept desert dunes,Micro-cement finish with subtle metallic quartz shimmer,Dramatic low-angle sunset glow highlighting ridge crests,"Terracotta, warm ochre, champagne sand, deep umber",--ar 1:1 --stylize 650,"Topographical ripple contours reminiscent of wind-swept desert dunes, micro-cement finish with subtle metallic quartz shimmer, dramatic low-angle sunset glow highlighting ridge crests, terracotta warm ochre champagne sand deep umber palette, square fine art piece --ar 1:1 --stylize 650","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Square Accent Gallery Wall / Luxury Lounge
8,Warm Minimalist & Quiet Luxury,Wabi-Sabi Circle in Cracked Ceramic,An imperfect Enso circle inscribed upon a rustic ceramic panel,"Crackle ceramic glaze, raw dark stoneware, gold kintsugi seam",Soft spotlighting with dark moody surroundings,"Oatmeal, charcoal, muted rust, faint 24k gold line",--ar 3:4 --stylize 700,"An imperfect Enso circle inscribed upon a rustic ceramic panel, crackle ceramic glaze raw dark stoneware gold kintsugi seam, soft spotlighting with dark moody surroundings, oatmeal charcoal muted rust faint 24k gold line palette, fine art print --ar 3:4 --stylize 700","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Japandi Zen Study / Meditation Space
9,Warm Minimalist & Quiet Luxury,Stacked Ceramic Slab Composition,Minimalist arrangement of handcrafted ceramic slabs in spatial equilibrium,"Matte clay, unglazed porcelain, subtle sand texture","Diffused architectural studio light, crisp cast shadows","Warm ivory, taupe, soft mocha, pale blush",--ar 4:5 --stylize 500,"Minimalist arrangement of handcrafted ceramic slabs in spatial equilibrium, matte clay unglazed porcelain subtle sand texture, diffused architectural studio light crisp cast shadows, warm ivory taupe soft mocha pale blush palette, high art poster --ar 4:5 --stylize 500","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Modern Minimalist Kitchen / Dining Space
10,Warm Minimalist & Quiet Luxury,Ethereal Folded Fabric in Travertine,Sculptural representation of heavy folded silk drapery carved in stone,HonRec Travertine marble with fluid carved drapery folds,Warm directional sunlight creating soft gradient transitions,"Cream, beige, soft almond, muted bronze",--ar 4:5 --stylize 750,"Sculptural representation of heavy folded silk drapery carved in stone, honed travertine marble with fluid carved drapery folds, warm directional sunlight creating soft gradient transitions, cream beige soft almond muted bronze palette, gallery masterpiece --ar 4:5 --stylize 750","--no text, watermark, signature, blurry, low resolution, frame, mockup, border",Luxury Master Suite / Hotel Lobby
